Place Name	Latitude	Longitude
Port Hueneme, CA, the US	34.155834	-119.202789
Auburn, NY, USA	42.933334	-76.566666
Jamestown, NY, the US	42.095554	-79.238609
Fulton, MO, USA	38.846668	-91.948059
Bedford, OH, the US	41.392502	-81.534447
Stuart, FL, USA	27.192223	-80.243057
San Angelo, TX, USA	31.442778	-100.450279
Woodbridge, NJ, USA	40.560001	-74.290001
Vista, CA, USA	33.193611	-117.241112
South Bend, IN, USA	41.676388	-86.250275
Davenport, IA, USA	41.543056	-90.590836
Sparks, NV, USA	39.554443	-119.735558
Green Bay, WI, the US	44.513332	-88.015831
San Mateo, CA, USA	37.554169	-122.313057
Tyler, TX, USA	32.349998	-95.300003
League City, TX, USA	29.499722	-95.089722
Lewisville, TX, USA	33.038334	-97.006111
Meridian, ID, USA	43.614166	-116.398888
Waterbury, CT, USA	41.556110	-73.041389
Jurupa Valley, CA, USA	34.000000	-117.483330
West Palm Beach, FL, USA	26.709723	-80.064163
Antioch, CA, USA	38.005001	-121.805832
High Point, NC, USA	35.970554	-79.997498
Miami Gardens, FL, USA	25.942122	-80.269920
Murrieta, CA, USA	33.569443	-117.202499
Springfield, IL, USA	39.799999	-89.650002
El Monte, CA, USA	34.073334	-118.027496
West Jordan, UT, USA	40.606388	-111.976112
College Station, TX, USA	30.601389	-96.314445
Fairfield, CA, USA	38.257778	-122.054169
Evansville, IN, USA	37.977222	-87.550552
Cambridge, MA, USA	42.373611	-71.110558
Richardson, TX, USA	32.965557	-96.715836
Berkeley, CA, USA	37.871666	-122.272781
Columbia, MS, USA	38.951561	-92.328636
Athens, GA, USA	33.950001	-83.383331
Lafayette, LA, USA	30.216667	-92.033333
Sterling Heights, MI, USA	42.580276	-83.030281
Visalia, CA, USA	36.316666	-119.300003
Hampton, VA, USA	37.034946	-76.360123
West Valley City, UT, USA	40.689167	-111.993889
Surprise, AZ, USA	33.630554	-112.366669
Thornton, CO, USA	39.903057	-104.954445
Miramar, FL, USA	25.978889	-80.282501
Murfreesboro, TN, USA	35.846111	-86.391945
Pasadena, CA, USA	34.156113	-118.131943
Bridgeport, CT, USA	41.186390	-73.195557
Paterson, NJ, USA	40.914745	-74.162827
Rockford, Il, the US	42.259445	-89.064445
Joliet, Illinois, USA	41.520557	-88.150558
Escondido, CA, USA	33.124722	-117.080833
Kansas City, KS, USA	39.106667	-94.676392
Springfield, MA, USA	42.101391	-72.590279
Springfield, MO, USA	37.210388	-93.297256
Corona, CA, USA	33.866669	-117.566666
Pembroke Pines, FL, USA	26.012501	-80.313614
Elk Grove, CA, USA	38.438332	-121.381943
Oceanside, CA, the US	33.211666	-117.325836
Newport News, VA, USA	37.070831	-76.484444
Sioux Falls, South Dakota, the US	43.536388	-96.731667
Vancouver, WA, USA	45.633331	-122.599998
Worcester, MA, USA	42.271389	-71.798889
Tallahassee, FL, USA	30.455000	-84.253334
Columbus, GA, USA	32.492222	-84.940277
Augusta, GA, USA	33.466667	-81.966667
Montgomery, AL, USA	32.361668	-86.279167
Aurora, IL, USA	41.763889	-88.290001
Amarillo, TX, USA	35.199165	-101.845276
Modesto, CA, USA	37.661388	-120.994446
Garland, TX, USA	32.907223	-96.635277
Irvine, CA, the US	33.669445	-117.823059
Aurora, CO, USA	39.710835	-104.812500
Arlington, TX, USA	32.705002	-97.122780
Kansas City, MO, USA	39.099724	-94.578331
Memphis, TN, USA	35.117500	-89.971107
Indianapolis, IN, USA	39.791000	-86.148003
Columbus, OH, USA	39.983334	-82.983330
Austin, TX, the US	30.266666	-97.733330
Dallas, TX, the US	32.779167	-96.808891
Redwood City, CA, USA	37.487846	-122.236115
Gastonia, NC, the USA	35.255280	-81.180275
New Braunfels, TX, the USA	29.700001	-98.116669
Palm Beach Gardens, FL, USA	26.838619	-80.129967
