time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-25T19:06:52.620Z,37.3849983,-122.2668304,9.91,1.59,md,14,76,0.02919,0.04,nc,nc73416491,2020-06-25T19:08:28.160Z,"3km W of Portola Valley, CA",earthquake,0.42,0.49,0.17,13,automatic,nc,nc
2020-06-25T19:06:44.830Z,36.4420013,-117.9844971,1.43,3.19,ml,43,65,0.07717,0.21,ci,ci39266159,2020-06-25T19:08:53.221Z,"18km SSE of Lone Pine, CA",earthquake,0.28,0.74,0.277,23,automatic,ci,ci
2020-06-25T19:02:06.420Z,35.6295,-117.4343333,6.88,1.09,ml,8,170,0.04854,0.12,ci,ci39266151,2020-06-25T19:05:52.728Z,"16km S of Searles Valley, CA",earthquake,0.57,0.73,0.204,13,automatic,ci,ci
2020-06-25T18:46:21.805Z,69.2207,-144.41,0.1,2.1,ml,,,,0.91,ak,ak02085144x4,2020-06-25T18:50:57.449Z,"106 km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-06-25T18:45:08.820Z,40.4723333,-121.5181667,2.81,0.05,md,6,149,0.008118,0.02,nc,nc73416486,2020-06-25T19:10:52.077Z,"14km NNE of Mineral, CA",earthquake,0.54,0.53,0.133,5,reviewed,nc,nc
2020-06-25T18:44:41.630Z,38.17,-117.825,5.5,1.8,ml,12,142.28,0.046,0.06,nn,nn00753590,2020-06-25T18:50:47.339Z,"34 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-06-25T18:42:48.271Z,61.5918,-141.0931,0.8,1.4,ml,,,,0.5,ak,ak0208513c2i,2020-06-25T18:46:35.822Z,"98 km E of McCarthy, Alaska",earthquake,,1.5,,,automatic,ak,ak
2020-06-25T18:40:33.620Z,36.4736667,-117.9621667,8.05,2.1,ml,21,109,0.1009,0.18,ci,ci39266087,2020-06-25T18:44:22.591Z,"16km SE of Lone Pine, CA",earthquake,0.39,0.8,0.202,26,automatic,ci,ci
2020-06-25T18:40:30.230Z,33.5088333,-116.445,5.87,0.49,ml,13,72,0.08669,0.23,ci,ci39266079,2020-06-25T18:44:02.591Z,"21km SW of La Quinta, CA",earthquake,0.48,2.01,0.228,6,automatic,ci,ci
2020-06-25T18:32:42.160Z,36.4773333,-117.9823333,8.89,1.59,ml,12,115,0.08728,0.17,ci,ci39266063,2020-06-25T18:36:29.544Z,"14km SSE of Lone Pine, CA",earthquake,0.59,0.97,0.176,18,automatic,ci,ci
2020-06-25T18:29:44.649Z,-37.1549,-95.2226,10,5.2,mb,,87,17.355,0.75,us,us7000abh1,2020-06-25T18:45:52.040Z,"southeast of Easter Island",earthquake,13.3,1.9,0.039,216,reviewed,us,us
2020-06-25T18:29:42.510Z,36.199501,-121.6839981,13.22,2.25,md,27,154,0.03726,0.08,nc,nc73416446,2020-06-25T19:07:04.312Z,"22km ESE of Point Sur, CA",earthquake,0.49,0.71,0.19,28,automatic,nc,nc
2020-06-25T18:27:57.630Z,40.4778328,-121.5175018,2.43,2.33,md,9,141,0.01362,0.05,nc,nc73416441,2020-06-25T19:07:04.894Z,"14km ESE of Viola, CA",earthquake,0.46,0.65,0.27,7,automatic,nc,nc
2020-06-25T18:27:48.470Z,38.158,-118.087,2.5,1.1,ml,15,162.2,0.038,0.14,nn,nn00753580,2020-06-25T18:37:26.540Z,"25 km S of Mina, Nevada",earthquake,,13.3,,,automatic,nn,nn
2020-06-25T18:25:45.320Z,19.220832824707,-155.419326782227,32.4300003051758,1.90999997,md,36,141,,0.119999997,hv,hv72016051,2020-06-25T18:29:02.800Z,"6 km ENE of P?hala, Hawaii",earthquake,0.8,0.930000007,1.90999997,4,automatic,hv,hv
2020-06-25T18:24:30.938Z,60.1822,-139.9886,2.6,1.4,ml,,,,1.07,ak,ak020850zfs3,2020-06-25T18:37:52.251Z,"72 km NNW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-06-25T18:22:33.350Z,19.2243328094482,-155.415496826172,32.8400001525879,1.88,md,41,136,,0.109999999,hv,hv72016046,2020-06-25T18:25:48.250Z,"7 km ENE of P?hala, Hawaii",earthquake,0.74,1.02999997,0.529999971,5,automatic,hv,hv
2020-06-25T18:20:29.750Z,38.1857,-117.9017,10,1,ml,14,100.21,0.019,0.08,nn,nn00753576,2020-06-25T18:28:46.101Z,"29 km SE of Mina, Nevada",earthquake,,1.9,,,automatic,nn,nn
2020-06-25T18:16:59.250Z,36.4503333,-117.9796667,7.05,2.84,ml,25,138,0.0817,0.22,ci,ci39266039,2020-06-25T18:47:04.358Z,"17km SSE of Lone Pine, CA",earthquake,0.52,1.48,0.099,25,automatic,ci,ci
2020-06-25T18:12:01.110Z,36.4478333,-117.9693333,5.02,2.84,ml,25,76,0.08972,0.18,ci,ci39266015,2020-06-25T18:22:37.300Z,"18km SSE of Lone Pine, CA",earthquake,0.36,1.34,0.146,26,automatic,ci,ci
2020-06-25T18:03:25.570Z,19.2124996185303,-155.407836914062,30.0599994659424,1.97000003,md,32,164,,0.100000001,hv,hv72016026,2020-06-25T18:06:35.830Z,"7 km E of P?hala, Hawaii",earthquake,0.7,0.75999999,,4,automatic,hv,hv
2020-06-25T18:02:43.750Z,-17.8829,-178.4823,562.53,4.5,mb,,73,3.303,0.88,us,us7000abg4,2020-06-25T18:20:57.040Z,"234 km E of Levuka, Fiji",earthquake,13,9,0.047,130,reviewed,us,us
2020-06-25T17:59:54.920Z,19.2164993286133,-155.416000366211,30.9899997711182,2.02999997,md,37,155,,0.159999996,hv,hv72016021,2020-06-25T18:03:01.390Z,"6 km ENE of P?hala, Hawaii",earthquake,0.6,0.930000007,0.219999999,13,automatic,hv,hv
2020-06-25T17:54:02.990Z,36.4301667,-117.9868333,2.22,1.98,ml,21,66,0.07588,0.27,ci,ci39265935,2020-06-25T17:57:51.308Z,"17km N of Olancha, CA",earthquake,0.63,1.25,0.18,25,automatic,ci,ci
2020-06-25T17:52:29.870Z,40.471,-121.52,2.83,0.56,md,5,145,0.006948,0.06,nc,nc73416411,2020-06-25T18:52:02.719Z,"13km NNE of Mineral, CA",earthquake,0.75,0.49,0.278,5,reviewed,nc,nc
2020-06-25T17:49:42.303Z,68.1921,-144.7713,0,1.5,ml,,,,0.79,ak,ak020850je1i,2020-06-25T17:56:24.857Z,"32 km ENE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-06-25T17:44:50.610Z,38.1568,-118.0812,6.3,1.9,ml,20,129.32,0.016,0.1,nn,nn00753555,2020-06-25T17:52:50.701Z,"26 km S of Mina, Nevada",earthquake,,1.6,,,automatic,nn,nn
2020-06-25T17:44:27.290Z,35.7666667,-117.559,11.31,0.97,ml,9,251,0.05812,0.14,ci,ci39265903,2020-06-25T17:48:01.253Z,"14km W of Searles Valley, CA",earthquake,1.17,0.64,0.087,10,automatic,ci,ci
2020-06-25T17:38:26.340Z,36.434,-117.9486667,-0.53,1.6,ml,13,131,0.1062,0.23,ci,ci39265895,2020-06-25T17:42:41.218Z,"18km NNE of Olancha, CA",earthquake,0.52,31.61,0.23,18,automatic,ci,ci
2020-06-25T17:29:03.900Z,38.1658,-117.8872,11.8,1.8,ml,14,65.71,0.033,0.18,nn,nn00753551,2020-06-25T17:33:47.035Z,"31 km SE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-06-25T17:23:29.830Z,36.4905,-117.987,8.05,1.24,ml,11,264,0.6061,0.29,ci,ci39265863,2020-06-25T17:59:40.953Z,"13km SE of Lone Pine, CA",earthquake,1.55,3.06,0.13,6,reviewed,ci,ci
2020-06-25T17:23:09.420Z,38.1595,-117.8292,5.9,2.4,ml,21,86.64,0.038,0.11,nn,nn00753548,2020-06-25T17:30:10.349Z,"35 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-25T17:19:24.058Z,60.1836,-152.0829,87.1,2,ml,,,,0.43,ak,ak020850cx5g,2020-06-25T17:24:16.016Z,"27 km WNW of Ninilchik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-06-25T17:16:45.650Z,33.6926667,-87.6201667,1.34,2.87,md,15,73,0.6195,0.12,se,se60108238,2020-06-25T18:12:05.524Z,"4 km NNW of Berry, Alabama",earthquake,0.79,1.88,0.108,10,reviewed,se,se
2020-06-25T17:14:13.620Z,37.3849983,-122.2689972,9.54,1.94,md,18,113,0.03054,0.04,nc,nc73416381,2020-06-25T17:29:04.214Z,"3km W of Portola Valley, CA",earthquake,0.29,0.49,0.12,17,automatic,nc,nc
2020-06-25T17:11:02.860Z,38.1377,-118.0215,1,1.5,ml,19,110.04,0.035,0.14,nn,nn00753541,2020-06-25T17:15:47.086Z,"29 km SSE of Mina, Nevada",earthquake,,1.3,,,automatic,nn,nn
2020-06-25T17:09:57.650Z,40.2353,-118.2072,18.3,1.8,ml,8,271.81,0.96,0.18,nn,nn00753542,2020-06-25T17:15:54.182Z,"23 km ENE of Lovelock, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-06-25T17:08:12.869Z,36.42233333,-98.79516667,10.74,1.35,ml,24,152,0.02789452614,0.45,ok,ok2020mkwl,2020-06-25T17:20:04.866Z,"19 km SSE of Waynoka, Oklahoma",earthquake,,1.6,0.16,9,reviewed,ok,ok
2020-06-25T17:05:47.981Z,67.2992,-148.826,0,2,ml,,,,0.87,ak,ak0208509yy6,2020-06-25T17:10:51.869Z,"56 km ESE of Wiseman, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-06-25T16:56:51.360Z,36.0998333,-117.8753333,6.39,0.74,ml,15,160,0.02426,0.15,ci,ci39265695,2020-06-25T17:09:03.951Z,"9km NE of Coso Junction, CA",earthquake,0.33,0.46,0.206,5,reviewed,ci,ci
2020-06-25T16:56:17.160Z,33.5831667,-116.8045,7.24,0.55,ml,19,33,0.03532,0.11,ci,ci39265687,2020-06-25T17:13:49.046Z,"12km WNW of Anza, CA",earthquake,0.21,0.62,0.117,7,reviewed,ci,ci
