time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-25T19:02:06.420Z,35.6295,-117.4343333,6.88,1.09,ml,8,170,0.04854,0.12,ci,ci39266151,2020-06-25T19:05:52.728Z,"16km S of Searles Valley, CA",earthquake,0.57,0.73,0.204,13,automatic,ci,ci
2020-06-25T18:46:21.805Z,69.2207,-144.41,0.1,2.1,ml,,,,0.91,ak,ak02085144x4,2020-06-25T18:50:57.449Z,"106 km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-06-25T18:44:41.630Z,38.17,-117.825,5.5,1.8,ml,12,142.28,0.046,0.06,nn,nn00753590,2020-06-25T18:50:47.339Z,"34 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-06-25T18:42:48.271Z,61.5918,-141.0931,0.8,1.4,ml,,,,0.5,ak,ak0208513c2i,2020-06-25T18:46:35.822Z,"98 km E of McCarthy, Alaska",earthquake,,1.5,,,automatic,ak,ak
2020-06-25T18:40:33.620Z,36.4736667,-117.9621667,8.05,2.1,ml,21,109,0.1009,0.18,ci,ci39266087,2020-06-25T18:44:22.591Z,"16km SE of Lone Pine, CA",earthquake,0.39,0.8,0.202,26,automatic,ci,ci
2020-06-25T18:40:30.230Z,33.5088333,-116.445,5.87,0.49,ml,13,72,0.08669,0.23,ci,ci39266079,2020-06-25T18:44:02.591Z,"21km SW of La Quinta, CA",earthquake,0.48,2.01,0.228,6,automatic,ci,ci
2020-06-25T18:32:42.160Z,36.4773333,-117.9823333,8.89,1.59,ml,12,115,0.08728,0.17,ci,ci39266063,2020-06-25T18:36:29.544Z,"14km SSE of Lone Pine, CA",earthquake,0.59,0.97,0.176,18,automatic,ci,ci
2020-06-25T18:29:44.649Z,-37.1549,-95.2226,10,5.2,mb,,87,17.355,0.75,us,us7000abh1,2020-06-25T18:45:52.040Z,"southeast of Easter Island",earthquake,13.3,1.9,0.039,216,reviewed,us,us
2020-06-25T18:29:42.510Z,36.199501,-121.6839981,13.22,2.25,md,27,154,0.03726,0.08,nc,nc73416446,2020-06-25T19:07:04.312Z,"22km ESE of Point Sur, CA",earthquake,0.49,0.71,0.19,28,automatic,nc,nc
2020-06-25T18:27:57.630Z,40.4778328,-121.5175018,2.43,2.33,md,9,141,0.01362,0.05,nc,nc73416441,2020-06-25T19:07:04.894Z,"14km ESE of Viola, CA",earthquake,0.46,0.65,0.27,7,automatic,nc,nc
2020-06-25T18:27:48.470Z,38.158,-118.087,2.5,1.1,ml,15,162.2,0.038,0.14,nn,nn00753580,2020-06-25T18:37:26.540Z,"25 km S of Mina, Nevada",earthquake,,13.3,,,automatic,nn,nn
2020-06-25T18:25:45.320Z,19.220832824707,-155.419326782227,32.4300003051758,1.90999997,md,36,141,,0.119999997,hv,hv72016051,2020-06-25T18:29:02.800Z,"6 km ENE of P?hala, Hawaii",earthquake,0.8,0.930000007,1.90999997,4,automatic,hv,hv
2020-06-25T18:24:30.938Z,60.1822,-139.9886,2.6,1.4,ml,,,,1.07,ak,ak020850zfs3,2020-06-25T18:37:52.251Z,"72 km NNW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-06-25T18:22:33.350Z,19.2243328094482,-155.415496826172,32.8400001525879,1.88,md,41,136,,0.109999999,hv,hv72016046,2020-06-25T18:25:48.250Z,"7 km ENE of P?hala, Hawaii",earthquake,0.74,1.02999997,0.529999971,5,automatic,hv,hv
2020-06-25T18:20:29.750Z,38.1857,-117.9017,10,1,ml,14,100.21,0.019,0.08,nn,nn00753576,2020-06-25T18:28:46.101Z,"29 km SE of Mina, Nevada",earthquake,,1.9,,,automatic,nn,nn
2020-06-25T18:16:59.250Z,36.4503333,-117.9796667,7.05,2.84,ml,25,138,0.0817,0.22,ci,ci39266039,2020-06-25T18:47:04.358Z,"17km SSE of Lone Pine, CA",earthquake,0.52,1.48,0.099,25,automatic,ci,ci
2020-06-25T18:12:01.110Z,36.4478333,-117.9693333,5.02,2.84,ml,25,76,0.08972,0.18,ci,ci39266015,2020-06-25T18:22:37.300Z,"18km SSE of Lone Pine, CA",earthquake,0.36,1.34,0.146,26,automatic,ci,ci
