headlines,targets
"Upstate NY dry spell ends with record deluge, flooding and a landslide",1
Magnitude 5.1 quake shakes northeast China; no injuries reported,1
Why Aardvarks Have Started Eating During the Day,1
"After the Bushfires and Amid the Pandemic, Australia’s Fossil Fuel Industry Is Gaining Steam",1
Govt ready to face flood: Shameem,1
"Second wave of floods feared in over one-third of Bangladesh, at least 1.3 mln people already affected",1
Turkey targets quicker response to forest fires,1
WeatherTalk: Otter Tail County tornado was powerful and rare,1
"4,5 Mag. Earthquake Reported in Georgia",1
Country’s flood situation,1
Turkey aims below 10-minute response time to forest fires,1
No casualties as 4-magnitude tremor shakes Tehran province,1
"Tornado downs trees, causes roof damage in Maine",1
Xi Jinping calls for all-out efforts in flood control,1
Cape Informal Settlements Hit Hardest,1
Warning on African swine fever as floods wreak havoc,1
Firefighters praised in bushfires response report ahead of $20m funding boost,1
Country’s flood situation may worsen,1
Paul Batura: My mother's recipe box contains hundreds of dishes – but thousands of memories,1
Extreme heat and rain: Thousands of weather stations show there’s now more of both — and for longer,1
Small Tornado Rips Through Western Maine,1
Millions in southern China face floods caused by heavy rains,1
"Trump touted selling Puerto Rico after the territory was devastated by hurricanes in 2017, says …",1
Flood situation deteriorates in Brahmaputra basin,1
Review into SA bushfire season praises volunteers,1
Nakhon Ratchasima rice farmers stare at another year of drought as rains play truant,1
"Tangshan hit by magnitude 5.1 quake, stirring memories of 1976 tragedy",1
"Severe Flood Warning Issued For Assam, Arunachal As Heavy Rain Continues",1
DA slams agriculture department for failing to apply for drought relief,1
4-Richter quake jolts Firuzkuh in Tehran province,1
Flash floods and landslides kill 40 in Nepal as thousands are forced to flee their homes,1
"Ogun arrests, prosecutes 128 for dumping waste in canals, others",1
Earthquake strikes Chinese city devastated by 1976 disaster,1
Flood situation worsens in Lalmonirhat and Kurigram,1
China raises flood alert to second-highest level,1
China raises flood alert to second highest level,1
"Cape Town weather warnings on Sunday: Flooding, 100km/h gusts expected",1
Governor Kinyanjui roots for pacts to protect Nakuru from floods,1
China raises flood response to second highest level,1
China plows millions for flood damage,1
E.China's Jiangxi Province declares wartime state as China's largest freshwater lake hits record flood level,1
Flood displaces scores in Saptari,1
"Flooding in 27 provinces claims 141 lives, 33.8m affected",1
Early morning quake jolts Tangshan,1
"M5.1 earthquake strikes Tangshan, N China's Hebei Province",1
Earthquake in China,1
100 Degrees in Siberia? 5 Ways the Extreme Arctic Heat Wave Follows a Disturbing Pattern,1
Comprehensive Steps Taken to Cope with Rainy Season,1
Watch Glass Animals’ Dave Bayley play ‘Heat Waves’ solo,1
Quake rattles Chinese city hit by massive 1976 disaster,1
Hobe Sound residents struggle with more flooding,1
Sleepless nights on China’s dykes as floods hit 34 million people,1
Ogun arrests 128 environmental sanitation offenders,1
Earthquake hits Chinese city rattled by massive 1976 disaster,1
"Quake rattles China's Tangshan, a city haunted by 1976 massive disaster",1
Gombe to Plant 1.2m Trees Before December,1
"Residents Lament Ordeal, Seek Solution to Abeokuta Flooding",1
Fortnite Update Makes Map Changes. Brings Back Risky Reels,1
Quake shakes northeast Chinese city; no injuries reported,1
$20m to better equip SA firefighters,1
"Assam floods affect over 6 lakh, death toll mounts to 42",1
"Weather: Extreme heat, heavy rain more frequent and more intense",1
"5.1-magnitude earthquake jolts Tangshan city, affects Beijing",1
Wildfire forces evacuation of Millcreek Canyon,1
"Floods and landslides lash Nepal, scores dead",1
"Australia / Bushfire-devastated areas of New South Wales ace heavy rainfall, strong winds and…",1
5.1 magnitude earthquake jolts China's Hebei province,1
Landslides continue to wreak havoc in different parts of the country,1
Latest News LIVE: Brahmaputra water level rises after heavy rains in Assam,1
Will golden ripple effect a shake-up?,1
Heat wave to continue through weekend,1
Flooding in parts of north Bengal; yellow weather warning for heavy rain in Himachal,1
"From the Archives, 1952: Suburbs awash as deluge drenches Melbourne",1
Southern California temperatures reach triple digits; more heat coming Sunday,1
"Your car, your safety during rainy season",1
"Heat Wave Strikes Southland, Brings Crowds Out To Beaches",1
"Parts Of North Bengal Affected By Floods, Heavy Rain In Kolkata, Siliguri",1
"Heat Wave Strikes Southland, Bringing Crowds Out To Beaches",1
5.1-magnitude quake hits north China: CENC,1
China allocates 309 mln yuan for disaster relief amid floods,1
China's Jiangxi raises flood response to highest level,1
"Weather forecast, alerts and UVB index for all South African provinces, 12 July 2020",1
Firefighter dies in forest blaze in central Portugal,1
WARREN: The recreational sports world adapts in the time of COVID-19,1
Backpackers stranded by the pandemic put holidays on pause to rebuild bushfire-damaged farms,1
Luis Gutiérrez: Joe Biden will help us build a better future,1
'Mad as hell' Victorian town takes bushfire recovery into its own hands,1
East Plum Fire Burning Near Larkspur 50% Contained,1
"Floods, landslides kill 23 in Nepal",1
"Uprooted trees, snake sightings following flash floods",1
"A silent killer, the heat wave of 1980 remains among the nation’s deadliest weather events",1
Turkey condoles Nepal for deadly flood,1
Flood advisory issued for Staten Island on Saturday,1
"Environment Canada warns of funnel clouds, heavy rain in weather advisory for Toronto",1
"Assam flood: Over 6 lakh people affected, 2 more deaths",1
1890 cyclone twists on in old photo; museum painting,1
"Fay brings flooding, power outages to New Jersey",1
Heat Wave Brings Triple-Digit Highs To San Diego County,1
Extinguish of wildfire of Harariz heights in S Iran,1
"23 killed in Nepal floods, landslides",1
Anies Baswedan: Ancol Reclamation Protects Jakartans from Flood,1
5.2-magnitude tremor shakes Davao del Sur,1
Advocate at 200: Drought ravages crops,1
China's southern Jiangxi province declares highest flood alert,1
"Nepal floods, landslides kill at least 30 people",1
Nepali company wins global environment awards,1
Flood situation being created in Brahmaputra basin,1
"Floods, landslides kill 40 in Nepal, many missing",1
Multibillion dams to curb floods in Western Province,1
"Assam flood situation worsens, death toll rises to 42",1
Fort McMurray wildfire's impact on rivers astonishes scientists,1
"Nine killed, six missing and two seriously injured in floods and landslides in Barekot, Jajarkot in the past three days",1
Heat Wave Drives People Inside in Covid’s Hottest Hot Spots,1
China Focus: China strengthens flood-defense network amid seasonal downpours,1
"Cambridge water crisis: To avoid drought, we must all work together - fast",1
Nearly 300 wildfires in Siberia amid record warm weather,1
Fay becomes post-tropical cyclone over eastern New York,1
New South Wales Warning: East Coast Low Expected to Bring Heavy Rains and Flashfloods Next Week,1
Nadia Swalha's never-ending garden is perfect for a heatwave,1
"Seismologists warn big Himalayan earthquake is ‘overdue’; Delhi, Shimla unprepared",1
"Tropical Storm Fay Heading Northward Along East Coast, with Flooding and Heavy Rains Reported",1
Chinese relics authorities call for urgent efforts to protect flood-battered artifacts,1
"China uses AI, 5G technologies to combat floods",1
Fay weakens to post tropical cyclone over eastern New York,1
A repeat of 1998 floods 'unlikely to happen',1
Flagstaff Mountain Fire May Have Been 'Human Caused': Officials,1
We're committed to tackling flood misery,1
"7,000 army soldiers deployed to fight floods in east China",1
Japan Hammered by Record-Breaking Torrential Rains and Deadly Floods,1
'Like wildfire': How virus is racing across Sydney and state,1
China Floods Intensify: Flood Alert Raised to Second-Highest Level,1
A large sinkhole has appeared on a popular beachfront road in Pembrokeshire,1
"Brace up for imminent flooding, NEMA warns Nigerians",1
"Flood, landslide claim four lives in northeastern Turkey",1
"282 flood victims at three relief centres in Port Dickson, Seremban",1
Alaskan volcano linked to mysterious period with extreme climate in ancient Rome,1
"Intense heat wave persists for tens of millions, severe weather possible across Central US",1
Back to the Future,1
"Flooding in Nepal: At Least 40 Dead, Thousands Homeless, Many Still Missing",1
"Stay hydrated: It's going to be a long, hot July for much of the U.S.",1
Flash floods hit five villages in Malaysia's Negeri Sembilan state,1
Chitral’s Golen valley cut off after glacial outburst flood,1
Band director starts Instagram closet for Sanford-area teen flood victims,1
This Assam MLA turns ‘saviour’ of the marooned amid devastating flood,1
"Video: Golden Tiger, Elephants, Rhinos Flee Flood-Ravaged Kaziranga National Park in India",1
Floods weigh on short-term CPI,1
3 suspects detained over forest fire on İstanbul’s Heybeliada: report,1
Floods force evacuation of 227 people in Muar and Tangkak,1
"Assam: NDRF teams rescue over 1,000 people in flood-hit districts",1
China on highest flood alert as 38m people evacuated,1
"Soldiers, residents rise together to safeguard homeland from flood",1
Three lakh people marooned as flood situation worsens in B’putra basin,1
How floods are affecting migratory birds at Poyang Lake?,1
"China braces for more floods, extremely heavy downpours",1
Flash flood kills 4 in northeastern Turkey's Artvin,1
"Wildfire, water helicopters interrupt wedding in Utah canyon",1
"Battered by Historic Floods, Jiangxi Goes Into ‘Wartime Mode’",1
Flooding - Chessington,1
14 evacuation centers became unusable amid Japan rain disaster,1
"Nigeria: Prepare for Flood, NEMA Tells Edo Govt",1
China Floods,1
Cape storm leaves hundreds without ‘toilets’,1
"Some CT Communities Hit By Flooding As Winds, Rain Batter City",1
"Worst floods in years hit China, 33 rivers flowing at levels highest in history",1
Heavy rain causes flash floods around Malaysia,1
Heavy rain causes flash floods around the country,1
What to do if you need to evacuate during the COVID-19 pandemic,1
Siberia: Where climate change goes extreme,1
"Erik Visits an American Grave, Part 655",1
"Flood Control Strategy In China Has Evolved, But Destruction Persists",1
"33 rivers in China hit record levels amid floods, as torrential rains continue",1
Ancient bridge damaged by flooding in East China will be repaired: local authorities,1
Nghệ An Province suffers severe drought,1
Dangerous heat wave impacting nearly 50 million,1
The growing need for Earth Observation Satellites to deal with Climate Change,1
"Pakistan set up its first underground water storage, as monsoons hits",1
China goes into 'wartime mode' to fight 'flood catastrophe' with 141 people dead or missing,1
Several earthquakes strike Indonesia,1
Forest fire erupts on Istanbul’s Heybeliada,1
Maine Sees First Confirmed Tornado For 2020,1
China Braces for Continuing Floods in One of Worst Rainfall Seasons on Record,1
"Flash floods hit five villages in N. Sembilan, 308 affected",1
Forest fire burns 5 hectares of land on Heybeliada island,1
Assam floods: 90% of Kaziranga National Park under water,1
"Flash floods hit five villages in Negeri Sembilan, 308 affected",1
Six cars submerged in flash flood in Taman Negara,1
On the correlation between solar activity and large earthquakes worldwide,1
Two men damage Nistru levee to get state subsidies,1
"Sudan: At Nile's convergence, fears and hopes over giant dam",1
China floods: Over 140 dead as Yangtze River bursts banks,1
Flood hits Jamalpur again,1
Flood situation worsens in,1
"Forest fires in Luhansk region: Separate fire seats still lit, works continue",1
More Investment Needed for Flood Prevention Infrastructure,1
Sunshine brings 77F heat today before wind and rain returns for rest of the week,1
China: 141 killed or missing due to floods since June,1
